"filename", "language", "JSON", "Markdown", "XML", "YAML", "JSON with Comments", "JavaScript", "TypeScript", "CSS", "vue", "TypeScript JSX", "HTML", "comment", "blank", "total"
"f:\study\design\canvas\apps\ljh-design\components\Board\BoardMain.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 0, 1, 2, 148
"f:\study\design\canvas\apps\ljh-design\components\Board\ChangeUserData.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 188, 0, 1, 3, 192
"f:\study\design\canvas\apps\ljh-design\components\Board\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"f:\study\design\canvas\apps\ljh-design\components\Board\SiderBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"f:\study\design\canvas\apps\ljh-design\components\Board\SiderBarItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 2, 30
"f:\study\design\canvas\apps\ljh-design\components\Board\SiderBarRoutes.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 1, 3, 39
"f:\study\design\canvas\apps\ljh-design\components\Board\UserData.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 2, 26
"f:\study\design\canvas\apps\ljh-design\components\Board\UserInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"f:\study\design\canvas\apps\ljh-design\components\Comand\Logo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"f:\study\design\canvas\apps\ljh-design\components\Comand\UserButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 2, 4, 71
